id,locode,city_name,country_code,country_name
0,CRE,Carnegie,US,United States
1,CVA,Castro Valley,US,United States
2,CEA,Celina,US,United States
3,CKE,Cherokee,US,United States
4,CKU,Clarks Summit,US,United States
5,CLK,Claverack,US,United States
6,CYT,Clayton,US,United States
7,CVS,Clovis,US,United States
8,CWA,Coldwater,US,United States
9,COF,Colfax,US,United States
10,CWO,Colwich,US,United States
11,CPS,Cosmopolis,US,United States
12,DLF,De Leon Springs,US,United States
13,DPA,Deerpark,US,United States
14,DWH,Dilworth,US,United States
15,DGL,Douglassville,US,United States
16,DNT,Downingtown,US,United States
17,DYS,Dyer,US,United States
18,EBR,East Brunswick,US,United States
19,EFD,Eastford,US,United States
20,EDF,Edgefield,US,United States
21,EDW,Edwardsville,US,United States
22,EGE,Elgin,US,United States
23,EIL,Elsie,US,United States
24,END,Endeavor,US,United States
25,FCH,Fitchville,US,United States
26,FLX,Florence,US,United States
27,FCT,Ford City,US,United States
28,FOE,Forestville,US,United States
29,GGW,Glasgow,US,United States
30,GLR,Glassboro,US,United States
31,GFA,Granite Falls,US,United States
32,GRK,Grant Park,US,United States
33,GNY,Greenville,US,United States
34,HIK,Highland Heights,US,United States
35,HBB,Hilbert,US,United States
36,HSH,Hollis,US,United States
37,HUA,Huber,US,United States
38,HUJ,Hurt,US,United States
39,HUT,Hutchinson,US,United States
40,JLX,Jonesville,US,United States
41,JSL,Joslin,US,United States
42,JCC,Junction City,US,United States
43,JPT,Jupiter,US,United States
44,KYO,Kenton,US,United States
45,LSV,Leesville,US,United States
46,LNA,Linden,US,United States
47,LOU,Louise,US,United States
48,LUK,Luke,US,United States
49,MAC,Macon,US,United States
50,MDA,Madelia,US,United States
51,MRI,Mariemont,US,United States
52,MMT,Martin,US,United States
53,MCF,McFarland,US,United States
54,MHV,Mechanicville,US,United States
55,MTX,Memphis,US,United States
56,MER,Merrick,US,United States
57,MDW,Middleton,US,United States
58,MIB,Midlothian,US,United States
59,MYF,Midway,US,United States
60,MWC,Midway City,US,United States
61,MIQ,Milan,US,United States
62,MUV,Mountain Top,US,United States
63,MUL,Mountain View,US,United States
64,NPA,Nampa,US,United States
65,NES,Nesconset,US,United States
