iata,city_name,country_name,country_code,continent
222,Coulmier-le-Sec,France,FR,Europe
223,Brandshagen,Germany,DE,Europe
223,Prela,Italy,IT,Europe
225,Braschwitz,Germany,DE,Europe
226,Brasen,Germany,DE,Europe
229,Braunfels,Germany,DE,Europe
22A,Castelreng,France,FR,Europe
22B,Bollen,Germany,DE,Europe
22C,Saint-Etienne-du-Gue-de-l'Isle,France,FR,Europe
22E,Eicklingen,Germany,DE,Europe
22E,Eldua,Spain,ES,Europe
22P,Pleven,France,FR,Europe
232,Braunichswalde,Germany,DE,Europe
233,Braunlage,Germany,DE,Europe
234,La Chatre-Langlin,France,FR,Europe
234,Braunrode,Germany,DE,Europe
235,Braunsbach,Germany,DE,Europe
236,Braunsberg,Germany,DE,Europe
237,Braunschwende,Germany,DE,Europe
237,Great Mills,United States,US,North America
238,Braunsdorf bei Freital,Germany,DE,Europe
239,Braunsdorf bei Zeulenroda,Germany,DE,Europe
23A,Leinatal,Germany,DE,Europe
245,Braunshorn,Germany,DE,Europe
246,Braunsroda (Heldrungen),Germany,DE,Europe
248,Braunweiler,Germany,DE,Europe
249,Brauweiler,Germany,DE,Europe
24B,Bollenborn,Germany,DE,Europe
24D,Chalagnac,France,FR,Europe
24S,Saint-Aulaye,France,FR,Europe
252,Brebel,Germany,DE,Europe
25B,Bollendorf,Germany,DE,Europe
25N,La Granja de la Costera,Spain,ES,Europe
25X,Tamallancos,Spain,ES,Europe
267,Hermitage,United States,US,North America
26B,Bollensdorf,Germany,DE,Europe
26C,Crepol,France,FR,Europe
26S,Sennestadt,Germany,DE,Europe
26T,Wilhelmsburg,Germany,DE,Europe
27B,Beuzeville,France,FR,Europe
27B,Bolleroda,Germany,DE,Europe
27E,Eturqueraye,France,FR,Europe
289,West Friendship,United States,US,North America
28B,Bollersdorf,Germany,DE,Europe
299,Cordova,United States,US,North America
29B,Bollewick,Germany,DE,Europe
29F,Cleder,France,FR,Europe
29L,Langolen,France,FR,Europe
2A5,San Damiano (Brugherio),Italy,IT,Europe
2AA,Alleshausen,Germany,DE,Europe
2AA,Ambia,United States,US,North America
2AB,Allstedt,Germany,DE,Europe
2AB,Albinia,Italy,IT,Europe
2AB,Aston,United Kingdom,GB,Europe
2AC,Arcay,France,FR,Europe
2AD,Alt Katwin,Germany,DE,Europe
2AD,Aldan,United States,US,North America
2AE,Macquigny,France,FR,Europe
2AE,Alt Poorstorf,Germany,DE,Europe
2AF,Alt Tucheband,Germany,DE,Europe
2AG,Agnos,France,FR,Europe
2AG,Altenahr,Germany,DE,Europe
2AH,Altenbuch,Germany,DE,Europe
2AI,Altenhausen,Germany,DE,Europe
2AJ,Altenriet,Germany,DE,Europe
2AK,Altersbach,Germany,DE,Europe
2AL,Altheimersberg,Germany,DE,Europe
2AM,Ampoigne,France,FR,Europe
2AM,Altlay,Germany,DE,Europe
2AN,Lans,France,FR,Europe
2AN,Altrich,Germany,DE,Europe
2AO,Altwigshagen,Germany,DE,Europe
2AP,Ammelstadt,Germany,DE,Europe
2AP,Hummels Wharf,United States,US,North America
2AQ,Anderbeck,Germany,DE,Europe
2AR,Angern,Germany,DE,Europe
2AR,Adair,United States,US,North America
2AS,Allonnes,France,FR,Europe
2AS,Anning,Germany,DE,Europe
2AT,Antran,France,FR,Europe
2AT,Appenheim,Germany,DE,Europe
2AT,Isola d'Asti,Italy,IT,Europe
2AV,Armstedt,Germany,DE,Europe
2AV,Avoca,United States,US,North America
2AW,Arnsnesta,Germany,DE,Europe
2AX,Arzberg Bei Torgau,Germany,DE,Europe
2AZ,Asselfingen,Germany,DE,Europe
2AZ,Turje,Hungary,HU,Europe
2B4,Bockau,Germany,DE,Europe
2B6,Bockelnhagen,Germany,DE,Europe
2B7,Bockelwitz,Germany,DE,Europe
2B9,Bockenheim (Weinstrasse),Germany,DE,Europe
2BA,Bertsdorf,Germany,DE,Europe
2BA,Spisska Bela,Slovakia,SK,Europe
2BA,Bath,United States,US,North America
2BB,Besenthal,Germany,DE,Europe
2BB,Babbitt,United States,US,North America
2BC,Canale-di-Verde,France,FR,Europe
2BC,Betten,Germany,DE,Europe
2BD,Boisse,France,FR,Europe
2BD,Betzin,Germany,DE,Europe
2BE,Berrie,France,FR,Europe
2BG,La Boissiere-en-Gatine,France,FR,Europe
2BG,Bibra bei Meiningen,Germany,DE,Europe
2BG,Bergen,United States,US,North America
2BH,Biebelried,Germany,DE,Europe
2BI,Biederbach,Germany,DE,Europe
2BK,Bilkheim,Germany,DE,Europe
2BL,Bindfelde,Germany,DE,Europe
2BL,Lloseta,Spain,ES,Europe
2BL,Blackwell,United States,US,North America
2BM,Brieulles-sur-Meuse,France,FR,Europe
2BM,Birkenbeul,Germany,DE,Europe
2BM,Blue Mounds,United States,US,North America
2BN,Bignan,France,FR,Europe
2BN,Birkenwerder,Germany,DE,Europe
2BO,Montberon,France,FR,Europe
2BO,Birkungen,Germany,DE,Europe
2BO,Bosco di Scandiano,Italy,IT,Europe
2BO,Boss,United States,US,North America
2BQ,Bischofswiesen,Germany,DE,Europe
2BR,Burie,France,FR,Europe
2BR,Bittkau,Germany,DE,Europe
2BS,Ballaison,France,FR,Europe
2BS,Blankenburg (Oberuckersee),Germany,DE,Europe
2BS,Bismarck,United States,US,North America
2BT,Bellot,France,FR,Europe
2BT,Big Tree,United States,US,North America
2BU,Bleialf,Germany,DE,Europe
2BU,Bureau,United States,US,North America
2BV,Bliedersdorf,Germany,DE,Europe
2BY,Blunk,Germany,DE,Europe
2BY,Ballston Lake,United States,US,North America
2BZ,Bezeril,France,FR,Europe
2BZ,Bobing,Germany,DE,Europe
2C7,Cubjac,France,FR,Europe
2C8,Arcene,Italy,IT,Europe
2CA,Camerlona,Italy,IT,Europe
2CB,Chabottes,France,FR,Europe
2CB,Cambridge,United States,US,North America
2CC,Occey,France,FR,Europe
2CC,Cement City,United States,US,North America
2CD,Cataldo,United States,US,North America
2CG,Choignes,France,FR,Europe
2CG,Giuliano Teatino,Italy,IT,Europe
2CH,Cottage Hills,United States,US,North America
2CL,Cerseuil,France,FR,Europe
2CL,Crystal Lawns,United States,US,North America
2CN,Castel Colonna,Italy,IT,Europe
2CO,Tyabb,Australia,AU,Oceania
2CO,Colona,United States,US,North America
2CP,Clear Spring,United States,US,North America
2CR,Crouttes,France,FR,Europe
2CR,Cascine Vica Rivoli,Italy,IT,Europe
2CS,Cerise,France,FR,Europe
2CS,Casoli,Italy,IT,Europe
2CS,Chester,United States,US,North America
2CT,Castelletto sopra Ticino,Italy,IT,Europe
2CU,Cutler,United States,US,North America
2CV,Calviac,France,FR,Europe
2CV,Collinsville,United States,US,North America
2CW,North Caldwell,United States,US,North America
2CX,Coux,France,FR,Europe
2CY,Ceyrat,France,FR,Europe
2DD,Dresden,United States,US,North America
2DE,Deatsville,United States,US,North America
2DF,Monteils,France,FR,Europe
2DG,Franquevaux,France,FR,Europe
2DH,Tisvildeleje,Denmark,DK,Europe
2DK,Diamond Lake,United States,US,North America
2DN,Fressancourt,France,FR,Europe
2DP,La Chapelle-Gauthier,France,FR,Europe
2DR,Castel San Pietro,Italy,IT,Europe
